ГОД,МЕСЯЦ,КБК,ГБ,РБ,МБ
2002,январь,1,47655788,29072894,18582893
2002,январь,101,16656164,11185184,5470980
2002,январь,101101,5194952,5194952,0
2002,январь,101102,701813,701813,0
2002,январь,101103,397902,397902,0
2002,январь,101104,1013412,1013412,0
2002,январь,101105,3732610,3732610,0
2002,январь,101106,7001,7001,0
2002,январь,101107,137492,137492,0
2002,январь,101201,4933747,0,4933747
2002,январь,101202,322936,0,322936
2002,январь,101203,214297,0,214297
2002,январь,103,8749701,0,8749701
2002,январь,103101,8749701,0,8749701
2002,январь,104,686453,0,686453
2002,январь,104101,208052,0,208052
2002,январь,104102,44555,0,44555
2002,январь,104301,17189,0,17189
2002,январь,104302,64097,0,64097
2002,январь,104303,28117,0,28117
2002,январь,104304,102,0,102
2002,январь,104305,0,0,0
2002,январь,104306,8,0,8
2002,январь,104401,128346,0,128346
2002,январь,104402,167918,0,167918
2002,январь,104501,28070,0,28070
2002,январь,105,18920729,15489745,3430984
2002,январь,105101,4542077,4066042,476034
2002,январь,105102,5904094,5904094,0
2002,январь,105103,182,182,0
2002,январь,105104,185198,185198,0
2002,январь,105105,2617551,2617551,0
2002,январь,105201,91273,0,91273
2002,январь,105202,207584,0,207584
2002,январь,105203,20817,0,20817
2002,январь,105204,35078,0,35078
2002,январь,105205,590,0,590
2002,январь,105206,13061,0,13061
2002,январь,105207,62367,0,62367
2002,январь,105208,30465,0,30465
2002,январь,105209,0,0,0
2002,январь,105210,370850,0,370850
2002,январь,105211,0,0,0
2002,январь,105217,1966,0,1966
2002,январь,105218,15514,0,15514
2002,январь,105221,5,0,5
2002,январь,105223,5496,0,5496
2002,январь,105224,3021,0,3021
2002,январь,105228,0,0,0
2002,январь,105229,6661,6661,0
2002,январь,105230,597118,0,597118
2002,январь,105231,60354,0,60354
2002,январь,105232,84210,0,84210
2002,январь,105233,12926,0,12926
2002,январь,105234,54083,0,54083
2002,январь,105235,10770,0,10770
2002,январь,105236,0,0,0
2002,январь,105237,12,0,12
2002,январь,105241,6828,6828,0
2002,январь,105242,6274,6274,0
2002,январь,105243,1070,1070,0
2002,январь,105244,5623,5623,0
2002,январь,105245,3620,3620,0
